layer,accuracy,energy_ratio,energy_pj
original,0.9866,0.7665357,4198707200000.0
batchnorm2d_1,0.9869,0.7823492,4285307000000.0
batchnorm2d_4,0.9867,0.7872685,4312244200000.0
batchnorm2d_9,0.9866,0.7911943,4333759000000.0
batchnorm2d_14,0.9866,0.7927945,4342519400000.0
batchnorm2d_21,0.9866,0.79397774,4348992600000.0
batchnorm2d_26,0.9868,0.79503715,4354793500000.0
batchnorm2d_33,0.9866,0.7953591,4356557200000.0
batchnorm2d_38,0.9866,0.7966667,4363718800000.0
batchnorm2d_45,0.9867,0.7983708,4373052700000.0
